"","Version","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan","Plan"
"Mav CC 2","Dep - Buildings","163333.34","334444.45","342222.22","420000","241111.11","210000","497777.78","171111.11","591111.12","396666.66","513333.33","163333.33"
"Mav CC 2","Dep - Furni & Fix","163333.33","334444.43","342222.23","420000","241111.11","209999.99","497777.78","171111.11","591111.11","396666.67","513333.32","163333.34"
"Mav CC 2","Dep - Office Equip","163333.34","334444.45","342222.22","420000","241111.1","210000","497777.78","171111.12","591111.11","396666.66","513333.34","163333.33"
"Mav CC 2","Dep - Computers","163333.33","334444.44","342222.22","420000","241111.12","210000","497777.78","171111.12","591111.11","396666.66","513333.34","163333.34"
"Mav CC 2","Deprec - Software 1","163333.33","334444.44","342222.22","420000.01","241111.11","210000","497777.78","171111.11","591111.12","396666.67","513333.33","163333.33"
"Mav CC 2","Dep - Elect Fittings","163333.33","334444.45","342222.22","420000","241111.1","210000","497777.79","171111.11","591111.12","396666.67","513333.34","163333.34"
"Mav CC 2","Dep - Machinery","163333.34","334444.45","342222.22","419999.98","241111.11","210000","497777.76","171111.11","591111.09","396666.68","513333.34","163333.33"
"Mav CC 2","Amortization","163333.33","334444.45","342222.23","420000.01","241111.12","210000.01","497777.76","171111.1","591111.11","396666.66","513333.34","163333.33"
"Mav CC 2","Depreciation Manual","163333.33","334444.44","342222.22","420000","241111.12","210000","497777.79","171111.11","591111.11","396666.67","513333.32","163333.33"
"Mav CC 2","Certifcation Charge- Audit","8333.34","8333.34","8333.33","8333.33","8333.33","8333.33","8333.34","8333.33","8333.34","8333.33","8333.33","8333.33"
"Mav CC 2","Interest & Bank Charges","767926","846474","830678","760519","867365","794354","853840","846257","929646","758574","789476","776111"
"Mav CC 2","Bank Charges","397664","458077","414049","370686","453755","354973","396706","384605","462442","362761","364103","362514"
"Mav CC 2","Interest on Term Loan","370262","388397","416629","389833","413610","439381","457134","461652","467204","395813","425373","413597"
"Mav CC 3","COGS","3430864","3414386","3150812","3403580","3414475","3429312","3427920","3374810","3629800","3380328","3216261","3426232"
"Mav CC 3","Cost of Goods Sold","2486716","2588832","2378308","2545836","2518198","2553342","2557937","2553503","2706960","2593277","2389861","2529792"
"Mav CC 3","Gross Profit Diff","408637","411848","375762","391978","397791","406639","452048","425666","483191","460478","361005","457029"
"Mav CC 3","Cost of Goods Sold","415910","397985","411756","469114","445881","466804","435031","350452","473282","443040","408585","393536"
"Mav CC 3","Price Dif - Trd Art","406820","474281","435840","371988","360546","376106","356267","446723","377197","384341","361127","369674"
"Mav CC 3","SIS Purchase Offset","392187","408524","351148","387717","423183","441895","412956","386500","450545","460279","415150","435675"
"Mav CC 3","Excess Margin Reimbu","452968","428231","435426","468146","457326","379217","436053","465890","477662","441268","427120","429470"
"Mav CC 3","Brand Management Fee","410194","467963","368376","456893","433471","482681","465582","478272","445083","403871","416874","444408"
"Mav CC 3","FOC Goods","944148","825554","772504","857744","896277","875970","869983","821307","922840","787051","826400","896440"
"Mav CC 3","COGS - FOC","462817","464460","399807","412760","477507","451518","436711","457728","438962","371901","470910","427403"
"Mav CC 3","Advertisement & Promotions Goods","481331","361094","372697","444984","418770","424452","433272","363579","483878","415150","355490","469037"
"Mav CC 3","Other Operational Expenses","22743894","22591184","22589642","22779360","22678280","22685557","22134956","22679785","22803780","22514890","22677668","22753776"
"Mav CC 3","Insurance - Property / Risk","408311","373955","458209","445451","387183","471989","484684","481816","450817","408051","464581","361352"
"Mav CC 3","Fines - Mnplty & Gvt","428541","392785","466679","379459","386848","445682","476113","476201","383958","464528","436957","439189"
"Mav CC 3","Communication & Utilities","2626796","2586418","2448306","2586091","2494475","2509130","2431029","2283822","2693708","2422144","2513531","2394491"
"Mav CC 3","Leased Line Chrgs","441984","424801","372924","405245","413909","387080","429469","351834","472724","424157","475495","446600"
"Mav CC 3","Internet Exp","451845","443309","362611","417346","422193","471080","384559","358749","439550","441331","354663","437986"
"Mav CC 3","Postage & Courier","405917","460487","452910","480983","457939","457377","436343","357099","465942","364155","396248","415072"
"Mav CC 3","Electricity Charges","393097","353440","376070","449286","448858","428485","422247","353713","379939","372278","377572","370660"
"Mav CC 3","Water Charges","462145","447151","446569","430472","383797","396627","400922","383743","460487","416403","441652","363281"
"Mav CC 3","Handset Allowance","471808","457230","437222","402759","367779","368481","357489","478684","475066","403820","467901","360892"
"Mav CC 3","Direct Expense","2496712","2503410","2417382","2517723","2598805","2512743","2417203","2547612","2584808","2616569","2395021","2437619"
"Mav CC 3","Price Dif - Art Revl","370512","413499","397752","374051","438459","441250","354146","392081","465714","377047","415657","384725"
"Mav CC 3","Carriage Inwards","455962","481158","409171","400083","350230","438505","416847","390495","480892","462020","361604","373702"
"Mav CC 3","Cnsmptn Art - Sample","411468","362298","362531","395361","442994","363486","369782","426054","438824","445817","381631","404041"
"Mav CC 3","GR W/O PO","350540","383885","397229","456695","442859","419987","459576","407542","433285","478746","399016","453870"
"Mav CC 3","Loading & Unloading","442459","438580","466167","433669","451097","434335","416003","479978","402067","480098","400781","374026"
"Mav CC 3","Demurrage Charges","465771","423990","384532","457864","473166","415180","400849","451462","364026","372841","436332","447255"
"Mav CC 3","Goods Damage / Expiry / Shortage","1227191","1180225","1158188","1263220","1310757","1286478","1288139","1253394","1300735","1275111","1286734","1323641"
"Mav CC 3","Procurement Loss","440268","400884","355423","473441","431080","428714","373574","453265","459991","440000","460438","467246"
"Mav CC 3","Goods Damage - WH/St","358767","350875","452527","380738","455455","457261","441780","391330","369027","466899","377998","414222"
"Mav CC 3","Goods Expiry A/c","428156","428466","350238","409041","424222","400503","472785","408799","471717","368212","448298","442173"
"Mav CC 3","Miscellaneous Expenses","2082048","2087420","2074388","1959953","2081332","2100030","2007557","2237501","2016979","2093420","2078172","2213028"
"Mav CC 3","Diff - Rounding Off","359787","445371","477768","405639","434669","386336","406215","418539","394762","385890","395495","446943"
"Mav CC 3","Cash Short","456888","380928","422457","423179","400120","451691","385294","464011","441788","398114","355282","448015"
"Mav CC 3","Donation","424977","483216","422292","388698","446375","469822","430644","469646","375358","463949","472959","448120"
"Mav CC 3","Other Exp","360499","424497","360142","359943","446495","393519","428717","478328","440950","470240","391015","423031"
"Mav CC 3","Small Diff - Inv","479897","353408","391729","382494","353673","398662","356687","406977","364121","375227","463421","446919"
"Mav CC 3","Offsetting Account","1760971","1603550","1720809","1861676","1570088","1702998","1654228","1645036","1756742","1775908","1666072","1707560"
"Mav CC 3","Consumption of RM","458866","361177","461242","433970","403177","389327","406266","425868","388028","462723","426394","444295"
"Mav CC 3","Off Setng Stock Adjj","404467","382032","365903","480028","421601","400967","392982","402633","482181","471681","464708","400795"
"Mav CC 3","Con. Purchase Accoun","479133","382708","433072","471950","379202","455602","470205","434441","462585","418584","407301","423495"
"Mav CC 3","Con. Purchase Off Ac","418505","477633","460592","475728","366108","457102","384775","382094","423948","422920","367669","438975"
"Mav CC 3","Personnel Cost - Others","2648222","2483084","2539888","2609877","2599363","2418339","2356938","2615665","2491656","2377319","2637599","2651371"
"Mav CC 3","Medical Insurance","473534","446312","404360","433023","431074","371309","367188","470229","374769","394681","409760","385714"
"Mav CC 3","Visa Charges","442237","391167","357221","387253","441579","373801","408620","452257","420349","369501","439470","450268"
"Mav CC 3","Staff Recreation Exp","385833","360800","458354","457128","478004","408446","386200","446743","418858","409657","480228","452321"
"Mav CC 3","Personnel Cost Reimb","426046","479354","373147","397648","375773","452525","388077","374140","484274","428228","399979","431777"
"Mav CC 3","Staff Medical Expens","449717","450099","483170","476343","463988","454225","358321","448038","399055","389924","457983","462662"
"Mav CC 3","Consultancy / Contractor Charges","470855","355352","463636","458482","408945","358033","448532","424258","394351","385328","450179","468629"
"Mav CC 3","Personnel Cost - Payroll","4998723","5043343","5254662","4955809","5128508","4900522","4966020","4952307","4918222","4847605","5058957","5109794"
"Mav CC 3","Staff Refresh -Expenenses","452156","480027","410540","459891","376153","365282","391151","439902","411683","364032","390749","460054"
"Mav CC 3","Basic Salary","425109","480735","446217","368187","445838","408570","403805","415731","391977","356537","410936","481646"
"Mav CC 3","Special Allowance","473534","461440","393054","358783","371124","424511","417927","477558","441301","357767","460849","356554"
"Mav CC 3","House Rent Allowance","450253","437865","455348","408747","477699","410794","477715","350083","457464","356343","455759","420487"
"Mav CC 3","Transport Allowance","445200","358195","425959","448466","484997","464753","477024","426769","397611","372528","363285","362104"
"Mav CC 3","Overtime Wages","368142","398717","461779","476434","417101","350342","399067","440861","390208","403818","387019","386877"
"Mav CC 3","Gratuity","371686","402966","482824","391377","367811","372003","471546","396787","361760","426334","445878","419773"
"Mav CC 3","Risk Allowance","414495","399859","431377","390839","467351","461919","358904","357899","397974","419689","428885","419002"
"Mav CC 3","Air Fare","422659","380563","459382","436621","401198","404252","443615","384610","388729","474909","425581","375979"
"Mav CC 3","PF","415206","446562","473767","433721","479733","442700","396474","414505","423859","421082","458953","466378"
"Mav CC 3","Other Reimbursement","404576","383427","359028","424070","477316","407842","374884","396184","389727","467136","396232","482418"
"Mav CC 3","Refreshment Expenses","355707","412987","455387","358673","362187","387554","353908","451418","465929","427430","434831","478522"
"Mav CC 3","Rent","769026","916290","761478","851481","879190","899105","796096","831865","834510","860108","856957","936707"
"Mav CC 3","Office Rent","369211","435223","405811","463624","433329","440851","358267","459186","442255","445016","419589","473967"
"Mav CC 3","W/H & MFC Rent","399815","481067","355667","387857","445861","458254","437829","372679","392255","415092","437368","462740"
"Mav CC 3","Repair & Maintenance (Equipment, Electricals, IT, MFH & others)","378894","449423","461400","352090","394233","442994","363308","382594","466375","415210","433829","367937"
"Mav CC 3","SAP Expenses","463366","470996","434134","475567","404073","371590","436849","465864","393848","452711","407999","422194"
"Mav CC 3","Selling & Distribution","1641114","1751592","1547645","1687643","1677592","1754108","1663503","1707685","1724138","1647059","1570407","1639923"
"Mav CC 3","Bad Debts Wrt Off","416369","477466","364143","480103","368209","397491","412712","423771","443624","436989","402117","423926"
"Mav CC 3","Carriage Outward.","432469","427616","392599","464038","403404","432749","359303","436584","414360","371892","372394","367895"
"Mav CC 3","Barcode Labels","440481","408219","422877","354666","475678","450478","428934","396554","449455","353230","412083","365923"
"Mav CC 3","S&D Reimbursement Ac","351795","438291","368026","388836","430301","473390","462554","450776","416699","484948","383813","482179"
"Mav CC 3","Travelling & Conveyance","813979","748693","846474","833320","765833","869849","793289","798423","787284","859147","870852","748970"
"Mav CC 3","Outstation Conveyance","401602","375996","460337","399244","360996","404163","401318","442635","413308","382950","436972","367536"
"Mav CC 3","Local Conveyance","412377","372697","386137","434076","404837","465686","391971","355788","373976","476197","433880","381434"
"Mav CC 3","Discount","2845347","2869500","2734221","2870133","2963781","3005167","2959435","2886818","2872444","2982263","2963488","2850790"
"Mav CC 3","Trd Disc","392223","471775","351171","483616","429401","442044","445894","382317","432113","357700","454038","380919"
"Mav CC 3","Cash Discount - Van","355695","432070","361326","370942","407952","367711","464008","440966","410093","473975","436191","420505"
"Mav CC 3","Cash Discount Paid","383660","388363","369973","465913","361597","390680","381393","465622","423895","470125","412115","408956"
"Mav CC 3","Inv Roundng off","480860","366145","410250","390283","416667","481198","473480","443182","469763","440551","470543","380796"
"Mav CC 3","Promo Discount","470208","398211","380335","357791","480558","426619","377492","357379","385780","449111","382856","392322"
"Mav CC 3","Material Discount","401454","444046","439532","416456","450065","438102","392460","390823","363370","379805","405161","438912"
"Mav CC 3","Brand Discount","361247","368890","421634","385132","417541","458813","424708","406529","387430","410996","402584","428380"
"Mav CC 3","Rebates","1300772","1281118","1245671","1279440","1275903","1289119","1186443","1256548","1386523","1383069","1211251","1144198"
"Mav CC 3","Brand Spend - Cust","410013","413806","406951","451187","455659","458124","409646","397105","473319","482916","390316","423170"
"Mav CC 3","Brand Spend - Mat","455895","476772","480517","431427","463963","407635","356057","458962","476063","469545","407889","362729"
"Mav CC 3","Brand Spend - Brand","434864","390540","358203","396826","356281","423360","420740","400481","437141","430608","413046","358299"
"Mav CC 3","Business Promo Exp","401979","483552","400950","472025","478879","415676","467604","448152","401180","360411","397859","384173"
"Mav CC 3","Brand - Promotional Expenses","464255","434017","386284","448081","379380","439739","407317","362395","439716","350678","390957","388913"
"Mav CC 3","Management Charges","845915","770244","819437","751082","952916","916529","911757","810324","914889","759831","768624","740989"
"Mav CC 3","Exp - Management","445409","372539","401819","370999","484376","458195","433856","354263","432097","391121","368925","371395"
"Mav CC 3","Mgt Fees","400506","397705","417618","380083","468540","458334","477901","456061","482792","368710","399699","369594"
"Mav CC 3","Trade - Promotional Expenses","4167205","4273785","4163011","4205428","3908047","4059220","3982555","4110362","4320880","4233323","4184174","4196074"
"Mav CC 3","Sales Promotional Expenses","2541795","2630008","2527035","2549116","2408175","2372395","2426062","2509906","2649588","2486437","2449446","2569446"
"Mav CC 3","Cost Sheet Overhead Account","444446","476463","369153","448666","359850","426581","446636","381896","464909","442694","463204","390257"
"Mav CC 3","JBC Exp","456231","484393","451462","428539","401717","419385","350259","447091","481506","475971","391103","404528"
"Mav CC 3","Sp Scheme Exp","357650","454344","472891","385141","456835","381450","385376","411314","371848","393938","422356","478847"
"Mav CC 3","Visibility/CN -Own","460980","389844","415794","483313","460809","365063","442313","391173","483332","402335","359151","444976"
"Mav CC 3","Brand Rebate - Own E","369645","453930","393108","354525","367889","370065","432824","476277","483878","365397","402917","379460"
"Mav CC 3","Special Scheme Expen","452843","371034","424627","448932","361075","409851","368654","402155","364115","406102","410715","471378"
"Mav CC 3","Shelf & Listing Fees","1625410","1643777","1635976","1656312","1499872","1686825","1556493","1600456","1671292","1746886","1734728","1626628"
"Mav CC 3","Listing Fee - Own Ex","373843","380225","406001","415943","365331","464456","355589","405241","469509","413052","484596","399613"
"Mav CC 3","Opening Contribution","429730","463983","484902","398672","390294","379606","405743","361609","423210","478794","358764","393878"
"Mav CC 3","Shelf Rental Expense","355946","363729","385123","364301","358646","444031","432702","358092","386075","383321","468692","413220"
"Mav CC 3","Listing Fee Expenses","465891","435840","359950","477396","385601","398732","362459","475514","392498","471719","422676","419917"
"Mav CC 3","Govt., Legal & Professional","1223768","1230812","1295070","1278584","1172208","1381350","1182567","1305561","1316832","1312079","1302587","1087375"
"Mav CC 3","Audit Fees","460287","382265","385313","354811","378994","456623","360902","454029","474937","474802","426147","365126"
"Mav CC 3","Income / Corporate Tax","354395","395034","431691","448716","438795","450860","444037","421345","364304","395880","439095","369194"
"Mav CC 3","Govt. & Legal Expense Reimbursement Account","409086","453513","478066","475057","354419","473867","377628","430187","477591","441397","437345","353055"
"Mav CC 3","Depreciation","2527415.73","5933932.58","2307640.44","3955955.05","6922921.34","2307640.44","3846067.41","2307640.44","5274606.74","4285617.97","5933932.58","3296629.21"
"Mav CC 3","Dep - Buildings","280823.98","659325.85","256404.49","439550.56","769213.48","256404.49","427340.82","256404.49","586067.42","476179.76","659325.84","366292.13"
"Mav CC 3","Dep - Furni & Fix","280823.97","659325.83","256404.5","439550.56","769213.48","256404.5","427340.83","256404.49","586067.42","476179.78","659325.83","366292.14"
"Mav CC 3","Dep - Office Equip","280823.98","659325.84","256404.49","439550.56","769213.48","256404.49","427340.83","256404.5","586067.42","476179.77","659325.84","366292.13"
"Mav CC 3","Dep - Computers","280823.96","659325.84","256404.49","439550.56","769213.49","256404.49","427340.82","256404.5","586067.41","476179.77","659325.85","366292.14"
"Mav CC 3","Deprec - Software 1","280823.96","659325.84","256404.49","439550.57","769213.48","256404.49","427340.82","256404.49","586067.42","476179.78","659325.84","366292.14"
"Mav CC 3","Dep - Elect Fittings","280823.97","659325.85","256404.5","439550.56","769213.47","256404.49","427340.83","256404.49","586067.42","476179.78","659325.85","366292.14"
"Mav CC 3","Dep - Machinery","280823.98","659325.85","256404.49","439550.55","769213.48","256404.5","427340.82","256404.5","586067.4","476179.78","659325.85","366292.12"
"Mav CC 3","Amortization","280823.96","659325.85","256404.5","439550.57","769213.49","256404.5","427340.81","256404.48","586067.41","476179.78","659325.85","366292.14"
"Mav CC 3","Depreciation Manual","280823.97","659325.83","256404.49","439550.56","769213.49","256404.49","427340.83","256404.5","586067.42","476179.77","659325.83","366292.13"
"Mav CC 3","Certifcation Charge- Audit","8333.34","8333.34","8333.33","8333.33","8333.33","8333.33","8333.34","8333.33","8333.34","8333.33","8333.33","8333.33"
"Mav CC 3","Interest & Bank Charges","833872","745097","904331","816258","865507","819408","892462","876808","788374","906904","845707","948042"
"Mav CC 3","Bank Charges","402962","386899","420244","386596","440442","375257","473825","413352","432312","456843","388480","483988"
"Mav CC 3","Interest on Term Loan","430910","358198","484087","429662","425065","444151","418637","463456","356062","450061","457227","464054"
"Mav CC 4","COGS","3363531","3124479","3362143","3149662","3411636","3312026","3256882","3283183","3387479","3479910","3176363","3353678"
"Mav CC 4","Cost of Goods Sold","2492651","2342002","2660090","2333013","2555429","2443335","2411658","2464763","2555373","2520575","2425966","2526173"
"Mav CC 4","Gross Profit Diff","428229","364241","434535","362418","403122","440044","405507","354223","391497","445474","350068","469709"
"Mav CC 4","Cost of Goods Sold","447321","378912","474543","409872","463495","425127","360282","443537","449664","404284","379507","365452"
"Mav CC 4","Price Dif - Trd Art","419981","379469","430151","407425","369931","370204","413634","444539","467281","385316","374599","472558"
"Mav CC 4","SIS Purchase Offset","479047","399652","473396","359173","412891","359093","376125","352046","439800","441457","479968","430063"
"Mav CC 4","Excess Margin Reimbu","360335","389087","397881","415575","469421","440513","381045","483031","358389","398541","450382","382613"
"Mav CC 4","Brand Management Fee","357738","430641","449584","378550","436569","408354","475065","387387","448742","445503","391442","405778"
"Mav CC 4","FOC Goods","870880","782477","702053","816649","856207","868691","845224","818420","832106","959335","750397","827505"
"Mav CC 4","COGS - FOC","418321","364129","350963","364605","413522","448756","398834","406310","409828","481619","379222","394161"
"Mav CC 4","Advertisement & Promotions Goods","452559","418348","351090","452044","442685","419935","446390","412110","422278","477716","371175","433344"
"Mav CC 4","Other Operational Expenses","22754019","22917246","22933745","22271980","23152318","22377377","22365991","22225594","22596913","23269790","22824202","22838975"
"Mav CC 4","Insurance - Property / Risk","477629","446801","423346","476339","372232","386634","422136","388155","440794","358314","428856","477809"
"Mav CC 4","Fines - Mnplty & Gvt","358278","382198","421415","385517","431422","447564","383358","430766","419197","388773","419190","397198"
"Mav CC 4","Communication & Utilities","2538475","2740706","2387555","2398370","2577361","2271417","2407343","2467879","2452999","2738058","2534036","2542569"
"Mav CC 4","Leased Line Chrgs","379529","446911","439772","364083","402308","427008","405110","373966","478126","472317","411197","406664"
"Mav CC 4","Internet Exp","386272","422158","354951","404184","477417","363679","382490","371044","355883","476682","468175","463505"
"Mav CC 4","Postage & Courier","473399","454425","371421","391505","404323","358473","393794","406458","416012","407085","471308","388141"
"Mav CC 4","Electricity Charges","454070","478688","419503","350801","454008","352648","470971","479526","441079","461947","436920","461101"
"Mav CC 4","Water Charges","422017","477288","373318","455949","372991","411020","367997","480370","379779","483391","393026","398597"
"Mav CC 4","Handset Allowance","423188","461236","428590","431848","466314","358589","386981","356515","382120","436636","353410","424561"
"Mav CC 4","Direct Expense","2408917","2617219","2555828","2444524","2567802","2329727","2429098","2397673","2527002","2552207","2423429","2556752"
"Mav CC 4","Price Dif - Art Revl","390692","410720","375224","375033","400675","417424","351937","461715","366623","383419","465539","352494"
"Mav CC 4","Carriage Inwards","449096","478590","441438","368001","450493","364185","471984","431002","440707","469125","364595","462179"
"Mav CC 4","Cnsmptn Art - Sample","416661","439466","450474","445343","407375","424909","401315","377167","442483","396919","350183","471711"
"Mav CC 4","GR W/O PO","434056","410704","449119","357022","356407","367379","420326","396940","394798","406780","370375","417018"
"Mav CC 4","Loading & Unloading","359735","475665","376599","460141","483123","384620","394812","376527","438721","453013","394115","372546"
"Mav CC 4","Demurrage Charges","358677","402074","462974","438984","469729","371210","388724","354322","443670","442951","478622","480804"
"Mav CC 4","Goods Damage / Expiry / Shortage","1225700","1291926","1363446","1190890","1398953","1306073","1258651","1225324","1235211","1364903","1226508","1318074"
"Mav CC 4","Procurement Loss","443507","430494","447495","360241","473615","456572","429577","363809","426773","449367","408293","474348"
"Mav CC 4","Goods Damage - WH/St","379243","472207","450097","383533","478246","394402","355706","436478","376392","432580","389517","471282"
"Mav CC 4","Goods Expiry A/c","402950","389225","465854","447116","447092","455099","473368","425037","432046","482956","428698","372444"
"Mav CC 4","Miscellaneous Expenses","2178184","2100995","2215198","2000627","2006839","2154190","2149752","2047468","2149837","2098795","2019771","2239159"
"Mav CC 4","Diff - Rounding Off","403377","378468","436490","464678","419667","444389","354687","421130","483784","442246","441247","447432"
"Mav CC 4","Cash Short","440002","419909","471970","371437","368010","444596","479728","418272","445023","386308","360262","432305"
"Mav CC 4","Donation","420286","457234","379540","362550","447638","356328","462973","366033","429583","390936","407071","425391"
"Mav CC 4","Other Exp","477671","403873","461402","377445","360374","470689","471379","362608","387647","415529","374436","449490"
"Mav CC 4","Small Diff - Inv","436848","441511","465796","424517","411150","438188","380985","479425","403800","463776","436755","484541"
"Mav CC 4","Offsetting Account","1582905","1473816","1691549","1732465","1644529","1765277","1651972","1541206","1581560","1851902","1824316","1717780"
"Mav CC 4","Consumption of RM","441220","350311","461417","398426","441591","463089","367675","418842","422438","457671","479853","410955"
"Mav CC 4","Off Setng Stock Adjj","364718","370228","424293","461883","362487","484997","390312","362649","387176","452849","472944","445706"
"Mav CC 4","Con. Purchase Accoun","389708","394310","402547","474650","465719","372947","451913","386667","421768","482197","404386","451892"
"Mav CC 4","Con. Purchase Off Ac","387259","358967","403292","397506","374732","444244","442072","373048","350178","459185","467133","409227"
"Mav CC 4","Personnel Cost - Others","2539330","2388754","2390753","2515055","2645225","2416640","2357961","2653773","2463963","2383625","2474228","2596557"
"Mav CC 4","Medical Insurance","416733","475478","458450","357030","449518","411182","428307","459057","467892","444392","368692","431872"
"Mav CC 4","Visa Charges","378501","354039","390482","406318","466244","366971","378802","484570","406922","471141","412426","421274"
"Mav CC 4","Staff Recreation Exp","458022","390661","395616","484244","378602","402066","372100","420314","387607","371319","459196","467646"
"Mav CC 4","Personnel Cost Reimb","407358","365990","379883","420623","484065","413457","397201","458132","432571","364214","428517","460057"
"Mav CC 4","Staff Medical Expens","413213","428118","381814","412471","396380","385783","388907","441635","388512","376690","427332","433206"
"Mav CC 4","Consultancy / Contractor Charges","465503","374468","384508","434369","470416","437181","392644","390065","380459","355869","378065","382502"
"Mav CC 4","Personnel Cost - Payroll","5090949","5087106","5159351","4926737","5214957","5096327","4864974","4932173","4941127","5204733","5056979","4913057"
"Mav CC 4","Staff Refresh -Expenenses","480763","432241","480645","433337","454964","430839","368797","469576","388327","417274","472742","399128"
"Mav CC 4","Basic Salary","481969","476147","450488","386394","366355","456846","353508","378455","457730","381805","432409","370542"
"Mav CC 4","Special Allowance","377924","407830","400035","371799","457231","473440","483733","446237","379198","467588","418907","437469"
"Mav CC 4","House Rent Allowance","483797","383580","483419","362137","464544","478690","381115","483162","359891","442797","394231","371475"
"Mav CC 4","Transport Allowance","399722","406747","480108","382777","381950","458244","415101","443078","385801","445283","351022","380034"
"Mav CC 4","Overtime Wages","472047","469580","424344","442721","478315","350358","364185","436525","359065","368655","481236","429962"
"Mav CC 4","Gratuity","438272","449663","398214","396268","453522","366609","378415","391532","449996","374125","358257","374419"
"Mav CC 4","Risk Allowance","421257","472498","420457","445186","477568","398524","473674","410393","478512","444340","458448","430837"
"Mav CC 4","Air Fare","437618","369261","371715","474133","387679","352427","460774","366820","463181","473007","376091","475021"
"Mav CC 4","PF","378972","401969","351635","365480","358597","443278","413996","371212","380229","480732","426312","456282"
"Mav CC 4","Other Reimbursement","368111","446913","483382","381636","458676","453627","388684","376360","406093","431686","427088","403454"
"Mav CC 4","Refreshment Expenses","350497","370677","414909","484869","475556","433445","382992","358823","433104","477441","460236","384434"
"Mav CC 4","Rent","774724","883019","841130","800632","840280","813860","965744","819498","910691","855895","850645","808833"
"Mav CC 4","Office Rent","353697","453899","391732","361967","423748","360695","481632","382590","440529","397256","389519","364576"
"Mav CC 4","W/H & MFC Rent","421027","429120","449398","438665","416532","453165","484112","436908","470162","458639","461126","444257"
"Mav CC 4","Repair & Maintenance (Equipment, Electricals, IT, MFH & others)","482775","418686","467362","395409","402350","454567","435772","356570","425719","398329","484009","451358"
"Mav CC 4","SAP Expenses","392765","454998","464944","437476","465928","375973","441350","387200","383554","371107","444585","351287"
"Mav CC 4","Selling & Distribution","1743238","1731970","1708990","1779973","1664788","1667731","1636546","1703999","1750884","1801025","1742990","1623299"
"Mav CC 4","Bad Debts Wrt Off","428896","479251","386282","459909","409641","406403","359029","460367","439305","459373","414290","361644"
"Mav CC 4","Carriage Outward.","450560","450687","472726","432509","417933","407267","429214","425602","459289","421108","479291","404731"
"Mav CC 4","Barcode Labels","445055","401032","437703","445859","370985","444188","377543","365444","439554","474866","371128","469445"
"Mav CC 4","S&D Reimbursement Ac","418727","401000","412279","441696","466229","409873","470760","452586","412736","445678","478281","387479"
"Mav CC 4","Travelling & Conveyance","960150","899052","842878","787966","919652","891397","961334","873910","914375","902124","894660","845243"
"Mav CC 4","Outstation Conveyance","476742","454908","468295","433321","461886","470494","477601","428137","447272","442653","415900","428481"
"Mav CC 4","Local Conveyance","483408","444144","374583","354645","457766","420903","483733","445773","467103","459471","478760","416762"
"Mav CC 4","Discount","2764630","3163080","3060910","2931178","2777152","2850910","3050872","2796543","2834463","2954998","2904011","3003671"
"Mav CC 4","Trd Disc","363569","396319","439480","360774","454782","386801","462627","448085","482470","479442","482095","436202"
"Mav CC 4","Cash Discount - Van","389549","439824","426346","427605","384334","448342","473155","361299","378807","441572","350324","455854"
"Mav CC 4","Cash Discount Paid","395342","477897","477127","440486","376357","407325","474335","375803","358476","453450","406044","406959"
"Mav CC 4","Inv Roundng off","384309","484129","354100","415824","463715","387025","406414","370565","467922","431683","458274","397818"
"Mav CC 4","Promo Discount","420215","450528","458067","435352","352418","479259","379977","368616","386148","400266","359398","442691"
"Mav CC 4","Material Discount","360490","434523","457710","449993","364426","390214","452231","438767","371879","372179","393429","433760"
"Mav CC 4","Brand Discount","451156","479860","448080","401144","381120","351944","402133","433408","388761","376406","454447","430387"
"Mav CC 4","Rebates","1350111","1330516","1324121","1226295","1262839","1339575","1412519","1398853","1374729","1286215","1182147","1179736"
"Mav CC 4","Brand Spend - Cust","479739","423578","457559","366232","372239","466893","477899","472752","464854","463325","391635","391348"
"Mav CC 4","Brand Spend - Mat","439276","461461","455847","465095","471912","452576","471139","445032","481084","449111","408727","376060"
"Mav CC 4","Brand Spend - Brand","431096","445477","410715","394968","418688","420106","463481","481069","428791","373779","381785","412328"
"Mav CC 4","Business Promo Exp","427916","459265","469256","424888","351441","419761","409924","366728","442384","420175","385705","432846"
"Mav CC 4","Brand - Promotional Expenses","386790","469694","393641","395188","437061","409974","452819","448049","420353","468816","459890","475109"
"Mav CC 4","Management Charges","882800","839237","893618","845380","728465","766734","869380","821520","880011","745043","837038","732309"
"Mav CC 4","Exp - Management","466221","422431","476173","391121","357126","357492","433928","452812","459942","367851","387087","376988"
"Mav CC 4","Mgt Fees","416579","416806","417445","454259","371339","409242","435452","368708","420069","377192","449951","355321"
"Mav CC 4","Trade - Promotional Expenses","4184873","4378803","4214508","4370796","4203558","4318000","4347768","4205302","4161823","4146747","4244081","4152592"
"Mav CC 4","Sales Promotional Expenses","2526764","2582292","2518670","2676338","2487801","2601737","2562289","2471782","2504119","2586428","2578150","2542098"
"Mav CC 4","Cost Sheet Overhead Account","396666","480077","403094","425712","471543","373696","359121","384429","460111","436861","407600","458000"
"Mav CC 4","JBC Exp","418483","350070","424223","451308","410855","407171","387999","468958","389849","361742","439262","401426"
